,1,2,3,4,5,6,7,8,9,10,11,12
A,0.336,0.268,0.313,0.292,0.327,0.293,0.335,0.314,0.380,0.376,0.361,0.360
B,0.292,0.309,0.333,0.313,0.320,0.317,0.310,0.308,0.381,0.378,0.344,0.337
C,0.345,0.359,0.353,0.310,0.286,0.343,0.281,0.318,0.330,0.346,0.326,0.342
D,0.324,0.319,0.315,0.304,0.341,0.341,0.281,0.309,0.339,0.336,0.332,0.337
E,0.340,0.344,0.312,0.311,0.378,0.360,0.345,0.342,0.337,0.329,0.331,0.326
F,0.261,0.300,0.314,0.316,0.381,0.358,0.340,0.325,0.330,0.300,0.329,0.316
G,0.340,0.316,0.395,0.307,0.313,0.333,0.317,0.312,0.306,0.311,0.309,0.318
H,0.358,0.356,0.389,0.390,0.340,0.344,0.340,0.350,0.273,0.283,0.285,0.337



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



